FD,convexity,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,label
1.1773,0.9107661418,0.3183098862,0.0002741458,0.0043965628,0.0038340615,0.0005531134,0.0009208314,0.0071129566,0.0060797244,0.0067682371,0.0008418055,0.0013643564,0.0013770091,0.0095111158,0.0078230807,0.0096223656,0.0152758085,0.0011451149,0.0017882493,0.0018378682,0.00188215,0.0114742351,0.00880283,0.0125830693,0.0179319718,0.0053667632,0
1.144,0.9216348838,0.3183098862,0.001362622,0.0011157789,0.0007292131,0.0027662022,0.0021449106,0.002002349,0.0010700734,0.0031884889,0.0042421309,0.0033659932,0.0058256968,0.0030959513,0.0013274487,0.0046991803,0.0074847045,0.0058017682,0.0047529327,0.0082283294,0.0093715353,0.0044631821,0.0019337861,0.0064216661,0.0082444609,0.0089444459,0
1.2908,0.9601087949,0.3183098862,0.0008795376,0.0037291494,0.0014857016,0.0019037323,0.0040113311,0.0060835937,0.0024955736,0.0006975284,0.0032050913,0.0062202676,0.008216453,0.0082111661,0.0035344711,0.0005036581,0.0015686291,0.0048882723,0.0086126986,0.0112061738,0.0047857347,0.0099684025,0.0046144722,0.0002771917,0.001609171,0.0047139563,0
1.2005,0.9122733913,0.3183098862,0.0009299991,0.0037341496,0.0013606053,0.0020141025,0.0035972961,0.0061099088,0.0021777606,0.0005795632,0.0033934028,0.0056115038,0.006088861,0.0082902187,0.0028561401,0.000498932,0.0034771405,0.0051794891,0.0078219137,0.0083595755,0.0029111764,0.0101524935,0.0033354321,0.0006031814,0.0043864814,0.0053201326,0
1.2471,0.8275362772,0.3183098862,0.0014121861,0.0017593347,0.002668378,0.0028199221,0.00362335,0.0029299517,0.0044077532,0.0021317783,0.004221777,0.0056874193,0.0046694923,0.0040924212,0.0060837087,0.0028878596,0.0035531003,0.0056171241,0.0080053676,0.0065194225,0.0076129854,0.0052332008,0.007671155,0.0035448514,0.0051350745,0.0043775267,0
1.2899,0.8960532896,0.3183098862,0.0011612477,0.0023239156,0.0024891171,0.0024402801,0.0036827091,0.0036768764,0.0041418234,0.0018655408,0.0039476104,0.0056538049,0.0059009845,0.0046882544,0.0057800229,0.0019869475,0.0012240371,0.0057764808,0.0077364872,0.0080307627,0.0053965426,0.0051355332,0.0073894994,0.0020064183,0.0014496198,0.0059950773,0
1.3097,0.9347248505,0.3183098862,0.0016128903,0.0017236782,0.0015061315,0.0032694184,0.0015345185,0.0030018299,0.0023698584,0.0049565257,0.0049927384,0.0021182597,0.0026183974,0.0044887387,0.0030051704,0.0066148261,0.0023511878,0.0067628781,0.0025021797,0.0029025601,0.0101322499,0.0062928872,0.0032904642,0.0078998538,0.0033588764,0.0034879082,0
1.1758,0.8836968506,0.3183098862,0.0010905149,0.0004085492,0.0009034204,0.0022182584,0.0025731835,0.0007594872,0.0013450071,0.0019298679,0.0034059514,0.0037863211,0.0048204576,0.0012190822,0.0015537588,0.0027349922,0.0087957533,0.0046454346,0.0049230963,0.0068479104,0.0114835361,0.0018118859,0.0015523677,0.0036251285,0.0106702742,0.0017153731,0
1.2535,0.8849391126,0.3183098862,0.000299877,0.0057899583,0.0013679631,0.0006048455,0.0016663829,0.0094185227,0.0022186606,0.0047428605,0.0009736324,0.0025639193,0.0049826833,0.0126471221,0.0029718669,0.0056424623,0.0029915677,0.0015299072,0.0035090313,0.0067940553,0.0023109874,0.0152189871,0.0035784767,0.0054790849,0.0036342132,0.0133360985,0
1.2809,0.9434471731,0.3183098862,0.0007280559,0.0030376216,0.0012847882,0.0015583019,0.0044270545,0.0049412672,0.0020767073,0.0017132835,0.0026043811,0.0068394225,0.0069514809,0.0066378062,0.0027757774,0.0020734091,0.0019953448,0.0039793457,0.0094290511,0.0095426863,0.0045944328,0.0080000857,0.0033637859,0.0021622567,0.0024990705,0.0067195949,0
1.1826,0.9344606401,0.3183098862,0.000654093,0.0009330216,0.0032971768,0.0013244538,0.0019560025,0.0013485867,0.0051919399,0.0063788259,0.0020250617,0.0029703536,0.0055303039,0.0014581668,0.0065927494,0.009001868,0.0078358763,0.0027646671,0.0040209181,0.0074548056,0.005320151,0.0011498832,0.0072349506,0.0116562486,0.0085462863,0.007604905,0
